SL No,Company,Country,Country Code,Market Cap,Diversity,Stock Price (2015),Stock Price (2016),Stock Price (2017),Stock Price (2018),Stock Price (2019),Stock Price (2020),Stock Price (2021),Stock Price (2022),Stock Price (2023),Stock Price (2024),Expense (2015),Expense (2016),Expense (2017),Expense (2018),Expense (2019),Expense (2020),Expense (2021),Expense (2022),Expense (2023),Expense (2024),Revenue (2015),Revenue (2016),Revenue (2017),Revenue (2018),Revenue (2019),Revenue (2020),Revenue (2021),Revenue (2022),Revenue (2023),Revenue (2024),Market share (2015),Market share (2016),Market share (2017),Market share (2018),Market share (2019),Market share (2020),Market share (2021),Market share (2022),Market share (2023),Market share (2024)
11,Feedfish,Sweden,SEK,$317.19M,69.6,$1.35B,n/a,$34.58M,$13.23B,$442.96M,$164.43M,$8.14B,n/a,$2.29B,$774.83M,$61778896.74,$34847591.88,$86287306.85,$79313735.43,$81765361.88,$91405724.18,$78432495.86,$88271445.11,$68480305.43,$2199159.64,$54996076.28,$64512355.40,$37966702.64,$11513862.28,$33926640.59,$17687516.12,$53266526.48,$27762136.18,$66278626.62,$45818986.35,26.58,96.21,91.69,75.68,30.07,40.79,24.98,67.61,42.61,89.32
12,Shufflebeat,Indonesia,IDR,n/a,72.6,$7.2B,$21.87M,n/a,$854.52M,$540.44B,$5.6B,$152.41M,$33.29B,$25.74M,n/a,$34317028.24,$75457349.64,$57631527.78,$93161526.60,$97435204.84,$76774184.77,$43688810.99,$18909328.32,$93119121.06,$41815176.10,$79315956.89,$74358275.12,$64256303.51,$83764081.95,$6655307.57,$1639445.05,$82176903.77,$65085019.87,$2407325.54,$69126969.41,86.9,56.06,2.09,94.38,56.19,18.77,63.49,47.55,66.86,50.49
13,Dablist,Brazil,BRL,n/a,61.9,$15.97M,$4.16B,$93.58M,$18.85B,$3.72B,$19.39B,$749.53M,$1.34B,$3.48B,$172.9M,$19280712.64,$92948303.46,$77966619.52,$85544337.63,$14720940.95,$72129645.78,$25590625.91,$51989221.39,$91250546.87,$83324826.40,$55352315.89,$22568314.66,$84193222.42,$59784717.14,$6222945.42,$59551969.84,$84202843.05,$26767014.07,$33712647.62,$3706196.34,68.05,54.31,56.71,24.97,4.36,62.61,52.05,71.33,87.94,48.54
14,Babblestorm,Portugal,EUR,$5.64B,25.3,$170.51M,$561.02M,$2.82B,$4.95B,n/a,$30.67B,$1.09B,n/a,$286.77M,$927.58M,$179162.97,$88121116.86,$88600749.12,$72428336.77,$71481425.18,$78851331.75,$34874872.20,$8962437.65,$85382908.83,$17416857.83,$65835743.96,$47495272.49,$60862491.06,$78140973.29,$60714396.73,$60941587.93,$47119469.87,$29776220.44,$76004850.53,$34701610.06,33.22,26.57,85.28,84.15,31.16,33.94,24.56,54.09,73.2,37.26
15,Skinder,South Africa,ZAR,$127.33M,74.7,$1.64B,$12.38M,$4.48B,$815.13M,$1.99B,$228.44M,$1.54B,$471M,n/a,n/a,$65827624.34,$32735276.70,$27258573.15,$77282844.82,$51216704.43,$20025463.95,$6971411.10,$71882820.56,$89338260.16,$22514845.32,$46498925.09,$74816290.29,$80220401.39,$84327011.66,$47732846.54,$12340608.10,$11254329.60,$11559029.83,$71395797.76,$97914990.49,54.58,8.8,95.47,62.7,77.26,96.26,19.06,44.6,61.19,47.86
16,Miboo,China,CNY,$80.33M,20.7,$24.17B,$3.11B,n/a,n/a,$3.46B,$43.5M,$437.26M,$3.33B,$4.09B,$8.52B,$16610824.32,$1371240.54,$70687886.92,$40752962.55,$27674819.77,$98666789.66,$82377582.45,$4937164.51,$50193695.27,$60053134.29,$23486426.71,$48808414.92,$33207782.67,$68231390.91,$63375463.45,$80567130.93,$92131493.45,$18720419.34,$89233990.14,$21335813.28,22.91,61.09,84.33,26.62,38.54,9.24,91.88,77.82,57.01,55.25
17,Yacero,Albania,ALL,$953.28M,48.4,$84.51M,$33.78M,$12.63M,$858.79M,$2.3B,$33.7B,$405.38M,$5.35B,$87.09B,$93.71M,$71148644.94,$47986756.04,$20776894.52,$51157909.66,$93025382.55,$84246328.30,$85095499.57,$4010056.40,$30206129.05,$83623110.99,$22230148.40,$31915717.50,$81980119.70,$70964692.80,$43194897.98,$96188084.18,$92413492.69,$26276476.37,$13820741.23,$36530439.98,91.62,74.16,13.85,35.45,90.87,62.7,73.39,91.4,21.95,58.1
18,Divavu,China,CNY,$3.26B,51.2,$14.45B,$28.99M,$29.54M,$13.92B,$147.96M,n/a,$371.88M,$14.5B,$28.43B,n/a,$32556057.33,$48374561.02,$41122947.58,$1483549.09,$78669754.87,$4004066.34,$11245155.29,$70991541.99,$50498230.44,$43004186.56,$81430697.49,$10615577.38,$7048914.89,$59872341.15,$3565028.59,$90291323.20,$90750405.76,$59716389.56,$22851270.03,$43955011.49,1.27,95.23,53.51,24.42,92.86,13.99,31.45,8.34,64.94,6.7
19,Fadeo,Finland,EUR,$126.61M,61.7,$53.04M,n/a,$6.7M,$410.14M,n/a,$26.98B,$25.74M,$153.07M,$251.83B,$780.46M,$79380165.79,$54728468.87,$21178799.43,$38746749.31,$38172010.85,$74998312.57,$97622330.83,$40801262.40,$38410943.82,$17006790.27,$46386381.89,$69972146.63,$18969665.52,$8871375.32,$77749924.05,$27060762.33,$34365594.61,$27167202.86,$31378104.52,$1393576.81,77.15,85.55,38.59,59.73,93.25,10.54,97.17,18.58,64.33,49.45
20,Midel,Russia,RUB,$151.54M,79.4,$1.63B,$618.24M,$3.79B,n/a,$1.53B,$4.58M,$2.05B,$61M,$437.4M,$3.5M,$76489856.01,$72113337.88,$48886800.10,$88145324.95,$99186068.93,$50456874.76,$14067815.70,$10001039.77,$9062824.90,$49774467.92,$84629839.00,$93759191.14,$55519840.53,$28092287.37,$16444587.77,$66061343.48,$88101186.51,$99325130.98,$72932753.93,$79957772.04,57.95,97.62,26.77,10.59,82.67,17.64,87.85,5.55,9.39,70.63
21,Skyba,Czech Republic,CZK,n/a,71.0,$907.72M,$384.84M,$44.38M,$10.41B,$24.7M,$70.06M,$23.33B,n/a,n/a,$626.24M,$31947195.45,$35436672.80,$85765128.46,$63363988.18,$12576348.29,$94602374.63,$75835913.08,$27576122.71,$17652101.76,$15519982.44,$60260340.13,$38351226.23,$91139180.20,$97929882.16,$75111050.36,$76230446.22,$86160286.73,$37190245.35,$60851377.94,$14476937.60,10.45,33.03,47.15,78.45,53.68,34.16,63.94,91.92,44.7,9.69
22,Mymm,Russia,RUB,$4.32B,50.8,$695.78M,$8.63B,$17.52B,n/a,$42.5B,$600.74M,$8.45B,$225.24M,$14.64B,$27.19M,$83516412.86,$47313435.72,$68757705.89,$50781309.86,$80718125.24,$33281191.95,$14996235.96,$76989562.20,$70029986.34,$75944881.90,$66218906.01,$37011785.89,$49538803.36,$31073589.11,$39806920.55,$66530769.90,$68983832.53,$90685164.08,$25590015.75,$86311234.53,19.55,37.4,81.65,48.05,5.81,11.77,99.46,55.71,38.55,5.57
23,Riffpedia,Poland,PLN,n/a,52.1,n/a,$251.77M,$3.9B,$1.53B,$16.89M,$797.33M,n/a,$54.39M,$650.54M,$98.91M,$58243164.90,$60430562.42,$79823495.37,$47591946.85,$71050716.83,$40524496.04,$49859683.77,$29913072.99,$35660103.59,$40602545.11,$17329936.94,$39758102.99,$49356840.81,$48081953.81,$30324958.04,$2435123.43,$83473242.40,$45345751.21,$99790111.33,$94340258.62,11.5,76.68,35.39,26.58,14.23,69.68,60.41,48.3,78.53,92.62
24,Avavee,Canada,CAD,$5.57M,93.9,$29.49M,$113.18M,$41.02M,$34.86M,$28.99M,n/a,$2.08B,$12.54B,$229.8M,$72.81M,$85822656.23,$57327760.00,$16215225.57,$49454828.45,$14456385.22,$56096032.99,$48443744.22,$29622016.92,$51090917.33,$27572283.08,$26708233.70,$1439173.58,$81610179.82,$49709880.08,$81094636.69,$93825975.78,$63967485.90,$18610467.32,$57730403.52,$75253448.72,54.05,5.41,93.1,34.12,64.04,19.08,41.26,86.79,76.85,43.99
25,Meevee,Poland,PLN,$9.9M,89.9,$653.44M,n/a,$1.6B,$9.64B,$1.59B,$2.83B,n/a,$535.95M,$1.02B,$3.5B,$31792908.93,$95763561.09,$42291407.58,$6391909.57,$7316270.10,$95480523.84,$83070291.07,$24922305.18,$50805509.31,$37901368.51,$60315298.05,$95715968.57,$7273702.94,$36644891.16,$52948282.62,$52231265.20,$52020011.79,$24141565.65,$19287521.03,$79706626.90,48.75,17.99,61.3,98.29,48.24,80.48,17.18,69.67,83.5,24.99
26,Yakitri,Peru,PEN,$228.44M,62.3,$448.39M,$532.95M,$52.7B,$2.5B,$687.35M,$177.4M,$1.28B,n/a,$3.43B,$70.38M,$6143730.10,$38965751.28,$37648359.16,$39719075.19,$84572449.95,$2349894.97,$81489160.29,$28951173.63,$72903616.79,$46804356.27,$96954157.07,$38471359.04,$91675808.70,$57126537.80,$70130676.46,$66277528.98,$97900512.08,$78996160.02,$14017217.04,$93449294.96,22.45,62.36,78.49,96.7,7.38,83.63,76.19,89.52,93.5,2.35
27,Tambee,Spain,EUR,$5.97B,35.3,$1.68B,$17.19B,$607.04M,$588.87M,$102.63B,n/a,$89.69M,$1.8B,$172.9M,n/a,$17819031.84,$57558834.26,$6352651.96,$79507481.12,$4981889.41,$26540258.53,$77751194.37,$57590523.91,$81465638.90,$94931890.74,$82374867.31,$99479923.50,$23265200.89,$74224607.38,$79332456.87,$62573522.67,$36502673.96,$40123290.48,$31915837.61,$33245798.03,92.95,97.42,50.42,14.06,37.42,46.54,2.23,82.22,65.78,60.23
28,Zoovu,Albania,ALL,$1.35B,65.9,$3B,$356.59M,$9.15B,$384.84M,$404.02M,$228.44M,$5.53B,$1.68B,$18.8B,$13.76B,$25134360.11,$40331634.32,$29653747.58,$95628476.68,$58710682.65,$5527402.93,$26221045.89,$40967481.60,$67378494.64,$5308614.99,$12026157.45,$12792513.01,$43245841.28,$70237501.93,$15007550.70,$52703966.67,$36379841.67,$87063043.87,$4753691.63,$28858277.58,74.93,69.37,81.28,97.11,10.25,64.82,71.71,2.47,34.44,20.93
29,Abatz,Bolivia,BOB,$103.46M,92.6,$488.16M,$121.11M,$14.98B,$13.56M,$27.02B,$74.82M,$248.85M,$5.05M,$3.27B,$15.44B,$85371766.14,$71993359.67,$35237942.63,$88738637.33,$98615581.05,$66710382.34,$29414974.73,$25605098.10,$31275511.23,$88083164.20,$29462734.84,$97190810.12,$26540851.49,$44450399.70,$50117828.62,$39078665.95,$22360416.84,$4273048.71,$35875089.07,$59078518.87,95.5,24.92,50.43,6.76,16.95,50.58,23.9,68.35,51.15,48.6
30,Divavu,France,EUR,$45.41M,82.2,$549.18M,$8.23B,$551.95M,$308.89M,$9.61B,$2.15B,$882.34M,$321.59M,$2.72B,$79.04M,$80166664.98,$93621872.81,$3534594.07,$43219362.59,$34335193.04,$391132.73,$8011547.44,$86867236.49,$14000365.73,$84657878.09,$88028259.91,$56707036.64,$84107385.20,$85361629.81,$45781847.65,$69585268.11,$41526478.83,$30375008.44,$24848425.02,$18876834.45,35.35,50.36,64.75,34.56,12.86,76.47,76.39,61.9,63.32,74.78
31,Twimm,China,CNY,$32.74B,100.0,$113.57M,$1.38B,$11.1B,$2.48B,n/a,$52.67M,$19.14B,$514.79M,$3.85B,$369.43M,$43561685.55,$64494165.55,$19505063.62,$81196824.70,$63248429.73,$81199325.78,$14520616.42,$70142097.51,$34421968.27,$50667478.65,$34538665.13,$72772541.26,$87410444.94,$12607696.65,$79934446.44,$91367444.37,$53789308.72,$16256393.82,$18450198.86,$4626188.80,62.53,52.46,51.83,74.05,52.0,28.43,82.28,11.16,51.97,61.61
32,Jamia,Georgia,GEL,$5.48B,53.9,$546.87M,$1.92B,$3.79B,$786.07M,$1.59B,$41.27B,$307.3M,$16.99M,$1.6B,$347.78M,$55249465.85,$11696893.31,$46954407.30,$31291226.19,$55553754.14,$97582103.30,$87134603.81,$28268289.94,$43768029.28,$1269510.20,$53605753.58,$10975281.61,$58103267.42,$37261572.60,$85329530.24,$52871597.82,$54460156.37,$53884587.77,$78848956.30,$44113245.64,46.15,26.91,39.28,27.3,30.58,89.94,19.43,90.77,57.65,12.81
33,Babblestorm,Malaysia,MYR,$5.38B,20.3,$5.45B,$128.5M,$267.73M,$570.2M,$183.57M,$1.32B,n/a,$1.14B,$46.84M,$126.32M,$43315690.71,$53391739.41,$92789775.69,$50031136.35,$59451723.28,$95657021.51,$46860541.60,$82782559.38,$55609725.16,$10739124.85,$24945787.08,$71553677.25,$42332233.85,$97134480.42,$68289135.34,$94213601.48,$61942041.77,$23136291.20,$48565072.31,$43792003.23,87.15,89.22,6.46,98.22,55.18,96.53,97.6,15.19,27.58,59.15
34,Youtags,Brazil,BRL,$13.86B,62.6,$47.08M,$681.44M,$1.11B,$1.26B,$1.23B,$105.89M,$931.89M,$4.38B,$2.38B,$1.04B,$89452817.28,$62165439.20,$97738811.99,$54735505.54,$41236484.58,$85876747.86,$81549626.92,$51502102.31,$1532536.02,$81402249.37,$72135980.61,$41524773.58,$49202245.04,$32354695.83,$49118643.78,$8670992.58,$82716707.90,$52716417.58,$82485428.52,$70504660.03,2.43,23.2,72.59,38.31,27.23,99.27,62.2,74.58,68.77,72.95
35,Rhybox,Tunisia,TND,$10.42M,67.3,$136.26M,$2.69B,$6.8M,$6.99B,$493.06M,$190.22B,$967.78M,$1.52B,$198.85M,n/a,$87881876.45,$8440029.80,$2729908.71,$93723163.31,$94262017.40,$68576157.84,$60241743.15,$39618823.62,$50269301.79,$28396497.58,$73487272.11,$7944508.86,$327980.11,$14355900.06,$87164368.98,$44456946.83,$34256798.58,$78907334.52,$5589814.99,$86429709.95,57.4,21.53,3.22,5.21,15.87,69.59,99.41,44.16,49.27,32.75
36,Quatz,Poland,PLN,$4.59B,31.5,$718.32M,$375.34M,$159.86M,$94.06M,$16.7B,$124.4M,$433.94M,n/a,$2.29B,$97.07M,$41569753.90,$20677315.96,$63833439.45,$6919610.43,$22029954.25,$25926943.79,$73859660.14,$99877820.61,$3055215.95,$89049646.22,$21353071.06,$24384298.44,$8285449.34,$32302621.29,$82811091.24,$36508269.10,$25623687.78,$33448953.45,$28747500.00,$76379215.88,22.11,38.49,73.89,23.44,97.8,9.76,42.73,60.22,81.97,1.87
37,Browsetype,Poland,PLN,n/a,65.0,$54.38M,$493.54M,$250.05M,$98.16M,$1.24B,$5.93B,$83.79B,$37.14M,$22.07B,$79.22M,$73431408.55,$29352242.39,$1751665.57,$79558859.05,$94736308.05,$34748365.10,$11099455.55,$57738403.75,$10337968.46,$20620475.60,$61811822.63,$4523757.42,$25609088.36,$56708103.86,$1668340.24,$62872565.29,$21078704.40,$63710489.11,$59104040.18,$28486062.09,43.2,24.57,88.53,38.67,97.75,34.86,28.93,40.24,32.39,66.76
38,Voonte,China,CNY,$6.25B,28.2,$84M,$10.95B,$19.79M,$5.58B,$54.78M,$1.91B,$3.3B,$42.26M,$106.15M,n/a,$99839043.26,$6009961.05,$78371459.62,$85751441.46,$50447463.68,$6005261.15,$34653956.65,$11821715.41,$79533712.49,$50639413.85,$61347920.08,$36544374.97,$57054651.57,$56486128.78,$50925734.63,$99359350.29,$37744581.08,$71657840.84,$74940231.26,$84141396.58,35.7,21.83,42.98,7.7,73.9,81.45,92.63,40.24,21.47,50.79
39,Thoughtstorm,Indonesia,IDR,$47.06M,48.4,n/a,$4.09B,$288.6M,$84.98M,$16.61M,$153.95M,$1.04B,$513.83M,$94.96M,$8.14B,$97493252.84,$34459079.52,$33393861.11,$26320859.95,$31169603.69,$70784701.40,$75916549.69,$22239414.99,$59737181.06,$89059824.68,$85203732.49,$2959225.05,$12326673.74,$7944718.45,$18445430.57,$24556706.00,$1272470.78,$37318149.21,$77179592.36,$57707462.30,46.29,66.05,67.82,89.35,12.97,26.06,10.12,44.8,22.24,60.16
40,Zazio,Albania,ALL,$650.54M,49.8,n/a,$558.63M,$1.52B,$1.78B,$6.26B,$29.24B,n/a,$855.22M,$7.53B,$911.47M,$85092439.40,$3856266.47,$94116766.45,$64717861.42,$13558848.62,$38840594.57,$84119040.36,$25581019.06,$11866305.98,$5358186.10,$79827257.81,$61060768.18,$71859831.89,$72455761.49,$79262525.38,$2572825.66,$35278511.36,$30105174.05,$79479082.43,$97029991.66,75.19,94.51,89.8,60.29,3.43,73.91,34.77,22.53,43.29,97.02
41,Kayveo,Brazil,BRL,$91.07M,44.6,$110.28M,$192.45M,$87.97B,n/a,$37.85M,$7.24B,$332.81M,n/a,n/a,$67.87M,$53609765.32,$55690088.92,$26741593.34,$81255179.20,$15578768.99,$29262300.35,$55418441.34,$99724412.97,$55094769.04,$52784922.54,$4606958.40,$93062931.35,$77939315.34,$82306645.30,$27067314.51,$84547331.76,$11430105.58,$55894730.01,$34786262.53,$8930143.15,86.48,18.34,24.01,69.5,10.0,83.98,4.29,9.44,43.09,10.51
42,Devshare,Mayotte,EUR,n/a,20.2,$4.25B,$120.57B,$32.91M,n/a,n/a,$119.14M,$292.59M,$9.87B,$349.39M,$117.47M,$25958579.27,$23003829.36,$75437487.96,$78105783.27,$87671966.92,$15936412.87,$52565836.86,$87898812.97,$12708829.16,$22820507.74,$31030163.07,$34204588.87,$15813425.31,$626707.67,$90242790.88,$82194831.02,$21529348.53,$78303879.59,$81117381.91,$92807185.15,78.9,34.21,99.61,83.55,20.87,49.91,88.78,34.93,27.17,25.19
43,Zoombeat,Mexico,MXN,$480.35M,28.6,n/a,n/a,$82.39M,$1.09B,$169.37M,$3.32B,$782.98M,$5.14B,$9.85B,$2.09B,$36358659.14,$73858053.07,$63993645.55,$93547401.14,$38021575.61,$91723461.77,$92368673.93,$69529800.84,$68863352.41,$31040127.48,$47604993.93,$9586348.40,$34215165.66,$53891425.64,$4460026.39,$32975856.08,$73827768.39,$59784027.65,$47287909.14,$72869132.18,40.39,54.02,2.25,31.69,6.21,84.18,3.76,50.76,10.94,81.67
44,Jaxnation,Russia,RUB,$672.68M,82.4,$3.96B,$93.58M,$54.66M,$176.92M,$3.82B,$484.41M,$3.49B,n/a,$809.46M,$3.61B,$35450889.04,$29682095.83,$70728510.01,$75415153.04,$21363742.29,$74604146.34,$51008277.47,$44228357.90,$87946702.33,$63991631.76,$7682275.72,$78567430.35,$59593715.99,$39688828.31,$76254331.06,$10682605.62,$94279269.48,$82831052.93,$44819219.35,$33781871.89,18.63,14.7,43.81,24.83,53.06,55.56,45.41,43.88,94.87,9.05
45,Skaboo,China,CNY,n/a,61.2,$142.71M,$15.47B,$390.46M,$19.68B,$34.78M,$975.44M,n/a,$751.34M,$432.95M,$25.59B,$70042428.28,$64989233.96,$20324858.23,$65551761.62,$82326261.74,$50739738.39,$17547597.33,$70088421.40,$22741314.57,$62818860.26,$59425808.67,$93443414.16,$74505662.35,$34078756.06,$69078347.82,$77608532.52,$5185350.60,$76750460.80,$66842236.68,$99310137.77,20.41,27.64,2.08,43.18,83.36,69.56,60.11,16.96,97.12,34.65
46,Buzzshare,Russia,RUB,$145.49M,49.0,$2.35B,$763.42M,$497.62M,n/a,$96.67B,$3.96B,$26.5B,$628.13M,$1.55B,n/a,$53972784.34,$26640165.35,$47933725.14,$32733916.14,$96367267.04,$72007115.61,$88082573.65,$33553471.26,$96787895.08,$44277654.94,$57472044.15,$20656081.68,$74159288.24,$62677570.13,$84610927.80,$48986040.02,$42029461.48,$57161350.70,$71877156.91,$16609165.97,33.89,92.16,96.2,2.89,89.8,50.58,94.26,51.92,67.31,1.05
47,Gabtune,Japan,JPY,$39.09M,50.6,$7.84B,$8.11B,$6.37B,$1.38B,$516.53M,$362.86M,$1.11B,$280.36M,$4.17B,$41.9M,$26131650.14,$85177899.32,$99806267.19,$70821795.94,$58321582.67,$89957705.35,$94214111.58,$73547892.87,$39400471.78,$95605670.04,$81611155.33,$89687068.75,$94907590.69,$93961240.46,$26713738.32,$36093969.33,$7933210.38,$98908663.23,$51712405.82,$24127595.23,2.31,68.63,9.22,69.98,54.93,37.11,81.95,77.07,49.2,69.13
48,Kare,Philippines,PHP,n/a,48.4,$280.36M,n/a,$74.51M,n/a,$471M,$3.68B,$520.75M,$828.75M,$177.84M,$390.46M,$76890384.66,$15227136.19,$65082896.83,$16791031.36,$19309985.00,$62226681.68,$69416740.38,$418216.40,$64426249.24,$99456516.13,$65047723.16,$42474065.31,$73986569.53,$2541450.35,$80516298.42,$24256961.54,$92388200.56,$49259888.60,$78855778.18,$28827389.26,35.83,82.29,64.11,95.91,4.61,78.35,31.51,94.49,27.73,68.42
49,Meetz,United States,USD,n/a,27.8,$666.84M,$748.44M,$14.95M,$14.08B,$150.68M,$1.64B,$654.69M,$18.42B,$11.08B,$18.6M,$48977121.80,$57775077.88,$59359406.76,$74503238.81,$53418706.40,$3864281.96,$9294686.48,$97877648.78,$90481009.62,$8024865.64,$21358850.48,$62959435.52,$42718369.50,$44597853.14,$21832686.43,$93290178.80,$76387623.42,$7909209.69,$34397085.21,$17976193.16,75.72,10.04,55.18,80.31,49.31,57.04,22.83,5.52,40.41,90.61
50,Twimbo,Cuba,CUP,$269.31B,91.0,n/a,$20.84M,$340.68M,$842.05M,$2.61M,$799.91M,$213.57M,$40.95M,n/a,$58.06M,$35064792.30,$53230768.86,$19040286.21,$9005172.51,$55516906.91,$97646575.47,$83787211.54,$53339626.97,$80357775.76,$19856708.00,$42626859.87,$64499519.84,$64528656.76,$51239262.95,$10854114.88,$29783442.08,$58594778.17,$25783150.74,$91374717.24,$38689401.52,56.01,31.84,8.62,92.22,43.64,49.39,81.26,62.04,4.46,67.23
